Filtering:

Day 1: rain [0.11111111], sunny [0.88888889]
Day 2: rain [0.70277078], sunny [0.29722922]
Day 3: rain [0.86192868], sunny [0.13807132]
Day 4: rain [0.89092378], sunny [0.10907622]
Day 5: rain [0.89578407], sunny [0.10421593]
Day 6: rain [0.19408949], sunny [0.80591051]
Day 7: rain [0.07049982], sunny [0.92950018]
Day 8: rain [0.68734577], sunny [0.31265423]
Day 9: rain [0.85889057], sunny [0.14110943]
Day 10: rain [0.18413065], sunny [0.81586935]
Day 11: rain [0.7285933], sunny [0.2714067]
Day 12: rain [0.86691902], sunny [0.13308098]
Day 13: rain [0.8917689], sunny [0.1082311]
Day 14: rain [0.89592394], sunny [0.10407606]
Day 15: rain [0.89661015], sunny [0.10338985]
Day 16: rain [0.89672324], sunny [0.10327676]
Day 17: rain [0.89674187], sunny [0.10325813]
Day 18: rain [0.89674494], sunny [0.10325506]
Day 19: rain [0.19435698], sunny [0.80564302]
Day 20: rain [0.73202822], sunny [0.26797178]
Day 21: rain [0.86757399], sunny [0.13242601]
Day 22: rain [0.89187955], sunny [0.10812045]
Day 23: rain [0.89594224], sunny [0.10405776]
Day 24: rain [0.19413349], sunny [0.80586651]
Day 25: rain [0.73195361], sunny [0.26804639]
Day 26: rain [0.15394802], sunny [0.84605198]
Day 27: rain [0.06611498], sunny [0.93388502]
Day 28: rain [0.68563135], sunny [0.31436865]
Day 29: rain [0.8585502], sunny [0.1414498]
Day 30: rain [0.18404152], sunny [0.81595848]
Day 31: rain [0.06938506], sunny [0.93061494]
Day 32: rain [0.05744304], sunny [0.94255696]
Day 33: rain [0.68221163], sunny [0.31778837]
Day 34: rain [0.14358704], sunny [0.85641296]
Day 35: rain [0.71454512], sunny [0.28545488]
Day 36: rain [0.15023774], sunny [0.84976226]
Day 37: rain [0.71689793], sunny [0.28310207]
Day 38: rain [0.15073376], sunny [0.84926624]
Day 39: rain [0.06577165], sunny [0.93422835]
Day 40: rain [0.05708849], sunny [0.94291151]
Day 41: rain [0.68207099], sunny [0.31792901]
